0,-1
0.09,-2
0.09,0
0.1,0
0.1,-1
0.11,9
0.12,-4
0.12,-2
0.13,-1
0.13,17
0.14,29
0.15,64
0.15,59
0.16,24
0.17,-3
0.17,-6
0.18,18
0.18,3
0.19,1
0.2,11
0.2,42
0.21,52
0.21,80
0.22,107
0.23,126
0.23,109
0.24,45
0.25,85
0.25,68
0.26,95
0.26,91
0.27,133
0.28,172
0.28,223
0.29,271
0.29,314
0.3,455
0.31,487
0.31,532
0.32,567
0.33,599
0.33,674
0.34,665
0.34,683
0.35,753
0.36,744
0.36,737
0.37,764
0.37,768
0.38,788
0.39,793
0.39,810
0.4,815
0.41,827
0.41,838
0.42,835
0.42,845
0.43,872
0.44,878
0.44,889
0.45,896
0.46,957
0.46,959
0.47,955
0.47,960
0.48,950
0.49,964
0.49,968
0.5,974
0.51,972
0.51,974
0.52,975
0.52,986
0.53,965
0.54,979
0.54,977
0.55,1000
0.56,993
0.56,976
0.57,994
0.57,992
0.58,1001
0.59,1003
0.59,1002
0.6,1012
0.6,1016
0.61,1013
0.62,1004
0.62,1020
0.63,1027
0.64,1036
0.64,1031
0.65,1029
0.65,1036
0.66,1031
0.67,1045
0.67,1046
0.68,1049
0.69,1048
0.69,1064
0.7,1055
0.7,1064
0.71,1056
0.72,1049
0.72,1059
0.73,1064
0.74,1073
0.74,1071
0.75,1068
0.75,1084
0.76,1082
0.77,1091
0.77,1096
0.78,1101
0.79,1111
0.79,1093
0.8,1101
0.8,1114
0.81,1107
0.82,1103
0.82,1133
0.83,1131
0.84,1133
0.84,1142
0.85,1137
0.85,1141
0.86,1137
0.94,1138
1.03,1160
1.03,1148
1.04,1159
1.04,1148
1.05,1151
1.06,1154
1.06,1150
1.07,1153
1.08,1145
1.08,1167
1.09,1158
1.09,1168
1.1,1163
1.11,1165
1.11,1162
1.12,1173
1.12,1173
1.13,1169
1.14,1173
1.14,1151
1.15,1167
1.16,1170
1.16,1168
1.17,1169
1.17,1174
1.18,1166
1.19,1166
1.19,1179
1.2,1172
1.21,1188
1.21,1184
1.22,1197
1.22,1194
1.23,1173
1.24,1195
1.24,1183
1.25,1193
1.25,1196
1.26,1195
1.27,1205
1.27,1203
1.28,1185
1.29,1209
1.29,1194
1.3,1209
1.3,1220
1.31,1199
1.32,1200
1.32,1205
1.33,1226
1.33,1213
1.34,1215
1.35,1197
1.35,1211
1.36,1215
1.36,1205
1.37,1219
1.38,1225
1.38,1221
1.39,1241
1.4,1239
1.4,1259
1.41,1244
1.41,1232
1.42,1266
1.43,1247
1.43,1246
1.44,1253
1.45,1261
1.45,1257
1.46,1260
1.46,1266
1.47,1261
1.48,1260
1.48,1261
1.49,1265
1.5,1265
1.5,1271
1.51,1273
1.51,1270
1.52,1269
1.52,1278
1.53,1272
1.54,1277
1.54,1269
1.55,1289
1.56,1277
1.56,1274
1.57,1285
1.57,1279
1.58,1294
1.59,1306
1.59,1284
1.6,1287
1.6,1293
1.61,1291
1.62,1304
1.62,1301
1.63,1311
1.64,1309
1.64,1323
1.65,1323
1.65,1320
1.66,1322
1.67,1314
1.67,1316
1.68,1319
1.69,1320
1.69,1334
1.7,1317
1.7,1334
1.71,1331
1.72,1330
1.72,1345
1.73,1335
1.74,1341
1.74,1340
1.75,1338
1.75,1337
1.76,1367
1.77,1370
1.77,1371
1.78,1388
1.78,1374
1.79,1375
1.8,1367
1.96,1378
1.96,1377
1.97,1375
1.98,1393
1.98,1389
1.99,1396
1.99,1394
2,1387
2.01,1394
2.01,1399
2.02,1401
2.02,1402
2.03,1400
2.04,1398
2.04,1411
2.05,1414
2.06,1410
2.06,1418
2.07,1414
2.07,1412
2.08,1408
2.09,1422
2.09,1432
2.1,1424
2.1,1428
2.11,1426
2.12,1418
2.12,1427
2.13,1429
2.14,1430
2.14,1433
2.15,1435
2.15,1423
2.16,1437
2.17,1444
2.17,1455
2.18,1455
2.18,1438
2.19,1454
2.2,1432
2.2,1449
2.21,1458
2.22,1443
2.22,1465
2.23,1463
2.24,1463
2.24,1454
2.25,1464
2.25,1462
2.26,1458
2.27,1451
2.27,1462
2.28,1469
2.29,1471
2.29,1479
2.3,1471
2.3,1477
2.31,1489
2.32,1468
2.32,1493
2.33,1517
2.33,1499
2.34,1517
2.35,1526
2.35,1515
2.36,1510
2.37,1512
2.37,1515
2.38,1505
2.38,1535
2.39,1512
2.4,1523
2.4,1523
2.41,1521
2.41,1525
2.42,1533
2.43,1531
2.43,1524
2.44,1534
2.45,1531
